country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALGERIA,74.93,81.38,86.45,89.55,96.36,100.15,103.49,104.55,101.25,107.38
ANGOLA,87.93,91.5,94.84,99.99,97.96,100.8,101.24,101.18,101.41,102.42
BENIN,82.17,88.5,91.5,97.04,97.23,100.05,102.72,108.02,110.76,114.36
BOTSWANA,127.44,133.34,132.92,111.73,102.64,104.44,92.92,99.31,94.58,91.45
BURKINA FASO,108.6,110.88,112.98,114.84,107.29,94.82,97.88,96.35,103.73,100.09
BURUNDI,89.41,91.09,118.29,84.14,98.17,107.55,94.28,106.95,108.01,110.91
CAPE VERDE,186.22,93.98,95.79,99.39,99.14,100.59,100.27,98.39,98.47,90.43
CAMEROON,95.66,98.27,91.83,100.4,99.98,99.91,100.11,99.53,99.92,89.98
CENTRAL AFRICA REPUBLIC,87.44,93.19,94.29,96.21,98.11,98.68,103.21,104.98,105.62,108.87
CHAD,74.94,79.42,84.17,89.2,94.68,100.22,105.1,111.75,118.58,122.65
COMOROS,99.08,94.72,96.63,101.8,99.65,99.15,101.2,99.58,98.91,90.02
CONGO,94.79,102.49,103.07,96.17,91.06,103.01,105.83,96.7,97.7,93.2
COTE D'IVOIRE,104.7,101.25,103.01,108.25,99.88,98.28,101.83,100.24,98.78,94.23
DJIBOUTI,130.22,130.36,130.71,130.03,104.74,73.25,122.01,133.47,135.27,140.37
EGYPT,104.84,104.29,103.47,104.95,101.87,100.02,97.9,99.13,85.76,76.99
EQUATORIAL GUINEA,106.84,105.95,107.22,81.98,97.26,104.36,98.38,95.52,108.35,100.2
ERITREA,97.5,99.06,99.76,96.93,99.55,99.84,100.6,99.97,100.21,101.22
ETHIOPIA,100.03,98.06,89.07,90.2,100.25,98.58,101.18,104.78,105.25,109.28
GABON,91.6,92.18,91.45,98.04,98.89,100.26,100.85,102.06,105.88,107.33
GAMBIA,95.97,88.04,89.47,87.83,99.45,103.8,96.74,99,99.75,92.99
GHANA,84.51,86.83,90.59,93.93,96.38,102.2,101.42,102.28,103.12,105.55
GUINEA,77.73,82.45,87.02,92.81,97.76,100.44,101.8,105.73,108.24,110.22
GUINEA-BISSEAU,90.05,94.94,96.92,99.99,98.8,100,101.21,102.57,104.1,108.87
KENYA,94.52,95.95,88.34,91.53,95.26,101,103.74,107.75,119.78,121.77
LESOTHO,95.99,103.73,98.57,108.34,97.94,100.58,101.48,100.63,97.46,90.11
LIBERIA,101.91,104.26,103.73,99.64,98.58,97.36,104.04,100.54,100.09,92.99
LIBYA,130.92,128.13,130.78,131.29,94.67,99.99,105.33,102.96,107.41,109.88
MADAGASCAR,91.45,94.24,96.9,97.23,97.33,101.14,101.52,101.49,102.21,104.31
MALAWI,52.95,67.34,78.24,86.01,92.07,102.45,105.48,114.19,134.65,144.21
MALI,86.68,90.53,96.28,95.16,95.69,97.26,107.05,111.28,116.34,119.75
MAURITANIA,87.13,89.77,92.51,95.39,95.23,103.88,100.88,103.06,103.78,107.82
MOROCCO,93.41,94.67,96.18,95.7,95.76,103.71,100.52,104.23,109.81,112.87
MOZABIQUE,85.88,93.33,107.74,110.17,112.2,106.4,81.4,75.39,76.23,72.44
NAMIBIA,112.43,111.12,110.76,107.82,104.01,99.36,97.66,101.17,91.06,90.74
NIGER,94.26,93.66,100.3,87.93,90.62,104.23,105.14,109.99,108.25,103.66
NIGERIA,111.93,102.67,93.66,101.19,100.58,100.76,98.66,96.27,94.37,97.95
RWANDA,87.67,90.94,94.78,98.08,103.23,100.16,96.61,92.7,94.6,88.09
SAO TOME,101.92,75.94,77.09,78.23,93.85,100.93,103.32,116.27,103.7,106.28
SENEGAL,76.57,75.97,90.5,102.61,99,99.65,101.35,101.51,104.83,107.43
SEYCHELLES,150.63,170.88,107.65,94.88,102.26,99.68,98.06,108.97,123.31,131.22
SIERRA LEONE,84.6,88.4,89.93,95.03,102.66,98.56,98.78,98.75,97.8,99.98
SOMALIA,101.48,104.04,102.5,104.57,104.91,98.77,104.07,97.17,97.41,87.99
SOUTH AFRICA,86.4,84.02,85.6,93.22,99.28,100.72,100.01,94.39,96.29,93.47
SOUTH SUDAN,97.08,94.99,99.08,101.16,103.7,97.97,98.34,103.52,99.57,105.58
SUDAN,90.89,92.38,97.56,98.94,99.67,101.38,102.97,104.39,106.88,108.99
TOGO,90.41,93.32,87.92,92.36,99.59,98.52,101.9,100.27,99.54,103.21
TUNISIA,86.88,84.35,90.73,93.12,99.11,100.18,100.71,101.89,100.78,103.32
UGANDA,88.36,91.62,92.87,96.34,95.39,99.15,105.47,108.07,110.59,115.4
ZAMBIA,87.82,88.91,96,108.67,113.45,93.31,93.23,114.77,106.3,109.94
ZIMBABWE,104.67,106.04,108.43,109.57,95.59,103.03,101.38,104.16,105.23,108.7
